X1,offense,offense_conference,offense_score,defense,defense_conference,defense_score,drive_id,id,period,minutes,seconds,down,distance,yard_line,yards_to_goal,play_type,play_text,yards_gained,ppa,yards_gained_raw,simple_play_type,game_pd,id_by_quarter,time
0,Northwestern,Big Ten,0,Illinois,Big Ten,0,4011121561,1,1,15,0,1,10,71,71,Pass Reception,Andrew Marty pass complete to Riley Lees for 5 yds to the Nwest 34,5,0.1013807738833972,5,1,Illinois 1,0.9999999999999999,Q1 15M 0S
1,Northwestern,Big Ten,0,Illinois,Big Ten,0,4011121561,2,1,15,0,2,3,75,75,Rush,Drake Anderson run for 4 yds to the Nwest 29 for a 1ST down,4,0.2191024756905495,4,2,Illinois 1,1.0010000000000001,Q1 15M 0S
5,Northwestern,Big Ten,0,Illinois,Big Ten,0,4011121561,3,1,15,0,1,10,61,61,Rush,Andrew Marty run for 1 yd to the Nwest 40,1,-0.9002974178644043,1,2,Illinois 1,1.002,Q1 15M 0S
6,Northwestern,Big Ten,0,Illinois,Big Ten,0,4011121561,4,1,15,0,2,5,66,66,Pass Reception,Andrew Marty pass complete to Riley Lees for 5 yds to the Nwest 39 for a 1ST down,5,NA,5,1,Illinois 1,1.0030000000000001,Q1 15M 0S
8,Northwestern,Big Ten,0,Illinois,Big Ten,0,4011121561,5,1,15,0,1,10,82,82,Rush,Drake Anderson run for 7 yds to the Nwest 25,7,0.4935789008473366,7,2,Illinois 1,1.004,Q1 15M 0S
3,Northwestern,Big Ten,0,Illinois,Big Ten,0,4011121561,6,1,12,24,2,9,60,60,Pass Reception,Andrew Marty pass complete to Riley Lees for no gain to the Nwest 40,0.5,-0.8114739719044,0,1,Illinois 1,1.0050000000000001,Q1 12M 24S
4,Northwestern,Big Ten,0,Illinois,Big Ten,0,4011121561,7,1,12,24,3,9,60,60,Rush,Andrew Marty run for 5 yds to the Nwest 45,5,0.0397483490399644,5,2,Illinois 1,1.006,Q1 12M 24S
14,Northwestern,Big Ten,0,Illinois,Big Ten,0,4011121563,8,1,9,50,2,13,18,18,Rush,Andrew Marty run for 3 yds to the Illin 15,3,-0.14348967791585,3,2,Illinois 1,1.0070000000000001,Q1 9M 50S
16,Northwestern,Big Ten,0,Illinois,Big Ten,0,4011121563,9,1,9,50,1,10,15,15,Fumble Recovery (Own),"Drake Anderson run for 2 yds to the Illin 18 Drake Anderson fumbled, forced by Stanley Green, recovered by Nwest Sam Gerak",2,-0.179494976485374,2,2,Illinois 1,1.008,Q1 9M 50S
17,Northwestern,Big Ten,0,Illinois,Big Ten,0,4011121563,10,1,9,50,3,10,15,15,Pass Incompletion,Andrew Marty pass incomplete to Trey Pugh,0.5,-0.5749405759083858,0,1,Illinois 1,1.0090000000000001,Q1 9M 50S
