,offense,offense_conference,offense_score,defense,defense_conference,defense_score,drive_id,id,period,minutes,seconds,down,distance,yard_line,yards_to_goal,play_type,play_text,yards_gained,ppa
0,Northwestern,Big Ten,0,Illinois,Big Ten,0,4011121561,401112156101849920,1,15,0,1,10,71,71,Pass Reception,Andrew Marty pass complete to Riley Lees for 5 yds to the Nwest 34,5,0.1013807738833972
1,Northwestern,Big Ten,0,Illinois,Big Ten,0,4011121561,401112156101849920,1,15,0,2,3,75,75,Rush,Drake Anderson run for 4 yds to the Nwest 29 for a 1ST down,4,0.2191024756905495
5,Northwestern,Big Ten,0,Illinois,Big Ten,0,4011121561,401112156101849920,1,15,0,1,10,61,61,Rush,Andrew Marty run for 1 yd to the Nwest 40,1,-0.9002974178644043
6,Northwestern,Big Ten,0,Illinois,Big Ten,0,4011121561,401112156101849920,1,15,0,2,5,66,66,Pass Reception,Andrew Marty pass complete to Riley Lees for 5 yds to the Nwest 39 for a 1ST down,5,
8,Northwestern,Big Ten,0,Illinois,Big Ten,0,4011121561,401112156101849920,1,15,0,1,10,82,82,Rush,Drake Anderson run for 7 yds to the Nwest 25,7,0.4935789008473366
2,Northwestern,Big Ten,0,Illinois,Big Ten,0,4011121561,401112156101877504,1,12,24,4,4,55,55,Punt,Andrew David punt for 55 yds for a touchback,0,
3,Northwestern,Big Ten,0,Illinois,Big Ten,0,4011121561,401112156101877504,1,12,24,2,9,60,60,Pass Reception,Andrew Marty pass complete to Riley Lees for no gain to the Nwest 40,0,-0.8114739719044
4,Northwestern,Big Ten,0,Illinois,Big Ten,0,4011121561,401112156101877504,1,12,24,3,9,60,60,Rush,Andrew Marty run for 5 yds to the Nwest 45,5,0.0397483490399644
9,Northwestern,Big Ten,0,Illinois,Big Ten,0,4011121561,401112156101877504,1,12,24,2,9,60,60,Timeout,"Timeout ILLINOIS, clock 12:24",0,
14,Northwestern,Big Ten,0,Illinois,Big Ten,0,4011121563,401112156101904896,1,9,50,2,13,18,18,Rush,Andrew Marty run for 3 yds to the Illin 15,3,-0.14348967791585
16,Northwestern,Big Ten,0,Illinois,Big Ten,0,4011121563,401112156101904896,1,9,50,1,10,15,15,Fumble Recovery (Own),"Drake Anderson run for 2 yds to the Illin 18 Drake Anderson fumbled, forced by Stanley Green, recovered by Nwest Sam Gerak",2,-0.179494976485374
17,Northwestern,Big Ten,0,Illinois,Big Ten,0,4011121563,401112156101904896,1,9,50,3,10,15,15,Pass Incompletion,Andrew Marty pass incomplete to Trey Pugh,0,-0.5749405759083858
18,Northwestern,Big Ten,0,Illinois,Big Ten,0,4011121563,401112156101904896,1,9,50,3,3,24,24,Rush,Andrew Marty run for 9 yds to the Illin 15 for a 1ST down,9,0.5308685090591108
19,Northwestern,Big Ten,0,Illinois,Big Ten,0,4011121563,401112156101904896,1,9,50,2,7,28,28,Rush,Drake Anderson run for 4 yds to the Illin 24,4,-0.0663594732483315
20,Northwestern,Big Ten,0,Illinois,Big Ten,0,4011121563,401112156101904896,1,9,50,1,10,31,31,Rush,Andrew Marty run for 3 yds to the Illin 28,3,-0.1807619553029143
21,Northwestern,Big Ten,0,Illinois,Big Ten,0,4011121563,401112156101904896,1,9,50,3,5,36,36,Rush,Andrew Marty run for 5 yds to the Illin 31 for a 1ST down,5,
22,Northwestern,Big Ten,0,Illinois,Big Ten,0,4011121563,401112156101904896,1,9,50,2,9,40,40,Rush,Coco Azema run for 4 yds to the Illin 36,4,-0.1374658107774033
23,Northwestern,Big Ten,0,Illinois,Big Ten,0,4011121563,401112156101904896,1,9,50,1,10,41,41,Rush,Drake Anderson run for 1 yd to the Illin 40,1,-0.6717839246394793
24,Northwestern,Big Ten,0,Illinois,Big Ten,0,4011121563,401112156101904896,1,9,50,3,3,53,53,Rush,Drake Anderson run for 12 yds to the Illin 41 for a 1ST down,12,2.1100753775947414
25,Northwestern,Big Ten,0,Illinois,Big Ten,0,4011121563,401112156101904896,1,9,50,2,8,58,58,Rush,Drake Anderson run for 5 yds to the Nwest 47,5,0.0862897758910038
26,Northwestern,Big Ten,0,Illinois,Big Ten,0,4011121563,401112156101904896,1,9,50,1,10,60,60,Rush,Drake Anderson run for 2 yds to the Nwest 42,2,-0.6799841752385892
15,Northwestern,Big Ten,3,Illinois,Big Ten,0,4011121563,401112156101969408,1,3,5,4,10,15,15,Field Goal Good,Charlie Kuhbander 33 yd FG GOOD,33,-0.1846758852644452
27,Northwestern,Big Ten,3,Illinois,Big Ten,0,4011121564,401112156101969408,1,3,5,1,0,65,65,Kickoff,"Charlie Kuhbander kickoff for 56 yds , Dre Brown return for 16 yds to the Illin 25",16,
32,Northwestern,Big Ten,3,Illinois,Big Ten,0,4011121565,401112156101986688,1,1,32,1,10,45,45,Rush,Andrew Marty run for no gain to the Illin 45,0,-0.997770018980635
35,Northwestern,Big Ten,3,Illinois,Big Ten,0,4011121565,401112156101986688,1,1,32,3,12,47,47,Rush,Andrew Marty run for 8 yds to the Illin 39,8,0.6772848786787762
36,Northwestern,Big Ten,3,Illinois,Big Ten,0,4011121565,401112156101986688,1,1,32,2,10,45,45,Rush,Drake Anderson run for a loss of 2 yards to the Illin 47,-2,-1.4673847440524292
34,Northwestern,Big Ten,3,Illinois,Big Ten,0,4011121565,401112156101986688,1,0,0,0,12,0,0,End Period,End of 1st Quarter,0,
33,Northwestern,Big Ten,3,Illinois,Big Ten,0,4011121565,401112156102849920,2,15,0,4,4,39,39,Pass Interception Return,Andrew Marty pass intercepted Nate Hobbs return for 29 yds to the Nwest 39,-29,-1.7356160305786439
41,Northwestern,Big Ten,3,Illinois,Big Ten,7,4011121567,401112156102865536,2,13,44,2,6,54,54,Rush,Drake Anderson run for 2 yds to the Nwest 48,2,-0.6811065083081614
44,Northwestern,Big Ten,3,Illinois,Big Ten,7,4011121567,401112156102865536,2,13,44,4,2,14,14,Rush,Andrew Marty run for 2 yds to the Illin 12 for a 1ST down,2,
45,Northwestern,Big Ten,3,Illinois,Big Ten,7,4011121567,401112156102865536,2,13,44,3,6,18,18,Rush,Raymond Niro III run for 4 yds to the Illin 14,4,-0.0622269592833824
46,Northwestern,Big Ten,3,Illinois,Big Ten,7,4011121567,401112156102865536,2,13,44,2,7,19,19,Rush,Jace James run for 1 yd to the Illin 18,1,-0.3320953105044356
47,Northwestern,Big Ten,3,Illinois,Big Ten,7,4011121567,401112156102865536,2,13,44,1,10,22,22,Rush,Drake Anderson run for 3 yds to the Illin 19,3,-0.126302256434185
48,Northwestern,Big Ten,3,Illinois,Big Ten,7,4011121567,401112156102865536,2,13,44,3,1,25,25,Rush,Andrew Marty run for 3 yds to the Illin 22 for a 1ST down,3,0.270295510073167
49,Northwestern,Big Ten,3,Illinois,Big Ten,7,4011121567,401112156102865536,2,13,44,2,7,31,31,Rush,Drake Anderson run for 6 yds to the Illin 25,6,0.2254879520404353
50,Northwestern,Big Ten,3,Illinois,Big Ten,7,4011121567,401112156102865536,2,13,44,1,10,75,75,Rush,Andrew Marty run for 7 yds to the Nwest 32,7,0.604642460086338
51,Northwestern,Big Ten,3,Illinois,Big Ten,7,4011121567,401112156102865536,2,13,44,1,10,34,34,Rush,Coco Azema run for 3 yds to the Illin 31,3,-0.2066800678483923
52,Northwestern,Big Ten,3,Illinois,Big Ten,7,4011121567,401112156102865536,2,13,44,2,6,40,40,Rush,Coco Azema run for 6 yds to the Illin 34 for a 1ST down,6,
53,Northwestern,Big Ten,3,Illinois,Big Ten,7,4011121567,401112156102865536,2,13,44,1,10,44,44,Rush,Andrew Marty run for 4 yds to the Illin 40,4,-0.1108700500197327
54,Northwestern,Big Ten,3,Illinois,Big Ten,7,4011121567,401112156102865536,2,13,44,2,3,68,68,Rush,Drake Anderson run for 10 yds to the Nwest 42 for a 1ST down,10,0.911409447595668
55,Northwestern,Big Ten,3,Illinois,Big Ten,7,4011121567,401112156102865536,2,13,44,3,4,52,52,Pass Reception,Andrew Marty pass complete to Ramaud Chiaokhiao-Bowman for 8 yds to the Illin 44 for a 1ST down,8,1.9964537907387108
56,Northwestern,Big Ten,3,Illinois,Big Ten,7,4011121567,401112156102865536,2,13,44,1,10,58,58,Rush,Andrew Marty run for 4 yds to the Nwest 46,4,-0.1665264279012551
43,Northwestern,Big Ten,10,Illinois,Big Ten,7,4011121567,401112156102947904,2,5,20,1,10,12,12,Rushing Touchdown,Andrew Marty run for 12 yds for a TD (Charlie Kuhbander KICK),12,2.5300945420359255
61,Northwestern,Big Ten,10,Illinois,Big Ten,7,4011121568,401112156102947904,2,5,20,1,0,65,65,Kickoff,Charlie Kuhbander kickoff for 53 yds,0,
62,Northwestern,Big Ten,10,Illinois,Big Ten,7,4011121569,401112156102956480,2,4,34,3,10,57,57,Rush,Raymond Niro III run for 8 yds to the Illin 49,8,0.5591651050018474
63,Northwestern,Big Ten,10,Illinois,Big Ten,7,4011121569,401112156102956480,2,4,34,1,10,40,40,Penalty,"Marty, Andrew pass incomplete to Lees, Riley, PENALTY NU ineligible downfield on pass (Slater, Rashawn) 5 yards to the ILL45, NO PLAY.",-5,
68,Northwestern,Big Ten,10,Illinois,Big Ten,7,4011121569,401112156102956480,2,4,34,2,15,45,45,Rush,Andrew Marty run for 7 yds to the Illin 38,7,0.50240869267299
69,Northwestern,Big Ten,10,Illinois,Big Ten,7,4011121569,401112156102956480,2,4,34,2,11,58,58,Rush,Drake Anderson run for 1 yd to the Nwest 43,1,-0.6391754066432807
70,Northwestern,Big Ten,10,Illinois,Big Ten,7,4011121569,401112156102956480,2,4,34,4,2,49,49,Rush,Andrew Marty run for 9 yds to the Illin 40 for a 1ST down,9,2.7257777403544363
71,Northwestern,Big Ten,10,Illinois,Big Ten,7,4011121569,401112156102956480,2,4,34,1,10,57,57,Rush,Andrew Marty run for a loss of 1 yard to the Nwest 42,-1,-1.3694998851390174
72,Northwestern,Big Ten,10,Illinois,Big Ten,7,4011121569,401112156102956480,2,4,34,1,15,45,45,Pass Incompletion,"Andrew Marty pass incomplete to Malik Washington, broken up by Delano Ware",0,-1.0198033924746657
64,Northwestern,Big Ten,10,Illinois,Big Ten,7,4011121569,401112156102994176,2,0,57,3,8,38,38,Timeout,"Timeout NORTHWESTERN, clock 00:57",0,
65,Northwestern,Big Ten,10,Illinois,Big Ten,7,4011121569,401112156102994176,2,0,57,3,8,38,38,Rush,Drake Anderson run for 3 yds to the Illin 35,3,-0.389190902142353
66,Northwestern,Big Ten,10,Illinois,Big Ten,7,4011121569,401112156102997632,2,0,23,4,5,35,35,Timeout,"Timeout NORTHWESTERN, clock 00:23",0,
67,Northwestern,Big Ten,10,Illinois,Big Ten,7,4011121569,401112156102997632,2,0,23,4,5,35,35,Pass Incompletion,Andrew Marty pass incomplete to Jace James,0,-1.996562289628013
78,Northwestern,Big Ten,0,Indiana,Big Ten,0,4011121651,401112165101849920,1,15,0,1,10,65,65,Kickoff,Trey Finison kickoff for 65 yds for a touchback,0,
